product_id,product,category
154,"Мороженое Коровка из Кореновки пломбир, ванильное, эскимо, в шоколадной глазури, 70 г",Замороженная продукция
157,"Энергетический напиток Drive Me безалкогольный, со вкусом яблока и карамболы, 449 мл",Безалкогольные напитки
171,"Вафельный торт Коровка со вкусом топленого молока, светлый и темный крем, 200 г",Мучные кондитерские изделия
173,"Сырок творожный Б.Ю. Александров глазированный, с ванилью в молочном шоколаде, 26%, 50 г",Молочная продукция
180,"Энергетический напиток Adrenaline Juicy, безалкогольный, со вкусом апельсина, 449 мл",Безалкогольные напитки
190,"Хлебцы Елизавета цельнозерновые, ржано-пшеничные, с витаминами и магнием, 90 г",Мучные кондитерские изделия
192,"Форель радужная Санта Бремор Артезианская, филе-кусок, слабосоленая, охлажденная, 150 г",Рыбная гастрономия
201,"Хлеб пшеничный Ароматный Коломенское с солодом и кориандром, в нарезке, 400 г",Хлеб и хлебобулочные изделия
217,"Напиток Fuze Tea холодный чай, зеленый, с клубникой и малиной, негазированный, 1 л",Безалкогольные напитки
224,"Нектар J7 Тонус, яблоко, гранат, черноплодная рябина и экстракт ягод годжи, 1,45 л",Безалкогольные напитки
231,"Корм Whiskas для кошек, праздничный микс, с кроликом, уткой и овощами в желе, 85 г",Продукция для животных
232,"Сырок творожный Б.Ю. Александров глазированный, с ванилью в темном шоколаде, 26%, 50 г",Молочная продукция
235,"Мороженое Коровка из Кореновки пломбир, эскимо, с карамелью, в белой глазури, 70 г",Замороженная продукция
236,"Энергетический напиток Tornado Energy Skill, безалкогольный, газированный, 450 мл",Безалкогольные напитки
238,"Напиток Lotte Aloe Vera негазированный, с мякотью алоэ, со вкусом граната, 240 мл",Безалкогольные напитки
245,"Напиток Basil Seed безалкогольный, со вкусом коктейля и семенами базилика, 290 мл",Безалкогольные напитки
252,"Гель Meine Liebe Eco, концентрат, для мытья посуды, мелисса и лемонграсс, Германия, 500 мл",Бытовая химия
254,"Энергетический напиток Tornado Energy Storm, безалкогольный, газированный, 450 мл",Безалкогольные напитки
261,"Хлеб ржано-пшеничный Даниловский Коломенское бездрожжевой, в нарезке, 300 г",Хлеб и хлебобулочные изделия
264,"Коктейль йогуртный Чудо Десерт, мороженое с карамелью и грецким орехом, 4,5%, 235 мл",Молочная продукция
269,"Батончик KitKat Senses, белый и молочный шоколад, со вкусом кокоса и миндаля, 40 г",Кондитерские изделия
274,"Напиток сывороточно-молочный Мажитэль со вкусом персик-маракуйя, обезжиренный, 950 г",Молочная продукция
285,"Шоколад Milka молочный, с карамельной начинкой, воздушным рисом и арахисом, 276 г",Кондитерские изделия
287,"Напиток Fuze Tea холодный чай, с лимоном и лемонграссом, негазированный, 500 мл",Безалкогольные напитки
292,"Напиток Lotte Aloe Vera негазированный, с мякотью алоэ, со вкусом манго, 240 мл",Безалкогольные напитки
296,"Энергетический напиток Adrenaline Juicy, безалкогольный, со вкусом ягод, 449 мл",Безалкогольные напитки
297,"Шоколадная паста Коровка из Кореновки мягкий молочный шоколад, с фундуком, 330 г",Кондитерские изделия
300,"Мороженое Облака из молока сливочное, шоколадное, в вафельном стаканчике, 80 г",Замороженная продукция
305,"Мороженое Коровка из Кореновки йогуртное, с черной смородиной, стаканчик, 80 г",Замороженная продукция
308,"Мороженое Коровка из Кореновки пломбир, в шоколадной глазури, на палочке, 70 г",Замороженная продукция
319,"Горбуша Русское море Балык особый, ломтики, холодного копчения, охлажденная, 120 г",Рыбная гастрономия
322,"Напиток Basil Seed безалкогольный, со вкусом киви и семенами базилика, 290 мл",Безалкогольные напитки
324,"Печенье Юбилейное с цельнозерновыми злаками и яблочными кусочками, 171 г",Мучные кондитерские изделия
326,"Напиток Basil Seed безалкогольный, со вкусом личи и семенами базилика, 290 мл",Безалкогольные напитки
329,"Мороженое Облака из молока сливочное, ванильное, в вафельном стаканчике, 80 г",Замороженная продукция
335,"Напиток Fuze Tea холодный чай, с лимоном и лемонграссом, негазированный, 1 л",Безалкогольные напитки
341,"Мороженое Коровка из Кореновки пломбир, полено, с шоколадной стружкой, 400 г",Замороженная продукция
344,"Слойка Мастер Пироговъ Коломенское венский конвертик, с черникой, 70 г",Хлеб и хлебобулочные изделия
345,"Бисквит Медвежонок Барни Duo, с ванильной и клубничной начинкой, 150 г",Мучные кондитерские изделия
353,"Йогурт Апети со вкусом пломбира, злаковые шарики, покрытые шоколадом, 5%, 105 г",Молочная продукция
368,"Пельмени Сибирская коллекция Особые, с телятиной, на сливочном масле, 430 г",Замороженная продукция
372,"Печенье Eco-botanica овсяное, с абрикосом и морковными цукатами, 280 г",Мучные кондитерские изделия
373,"Пельмени Сибирская Коллекция Бомбические, с паприкой и копченым чили, 600 г",Замороженная продукция
398,"Готовый завтрак Nestle Fitness, мультизлаковые подушечки, с фруктово-ягодным муссом, 285 г",Бакалея
399,"Бисквит Медвежонок Барни Duo, с малиновой и кокосовой начинкой, 150 г",Мучные кондитерские изделия
401,"Сырок Б.Ю. Александров глазированный, в белом шоколаде, с ванилином, 26%, 50 г",Молочная продукция
403,"Слойка Мастер Пироговъ Коломенское венский конвертик, с грушей, 70 г",Хлеб и хлебобулочные изделия
405,"Бисквит Медвежонок Барни Duo, с ореховой и шоколадной начинкой, 150 г",Мучные кондитерские изделия
409,"Слойка Мастер Пироговъ Коломенское венский конвертик, с вишней, 70 г",Хлеб и хлебобулочные изделия
417,"Печенье Belvita утреннее, сэндвич, какао с йогуртовой начинкой, 253 г",Мучные кондитерские изделия
421,"Корм Sheba Pleasure для кошек, ломтики в соусе с телятиной и языком, 85 г",Продукция для животных
423,"Напиток Fuze Tea холодный чай, с персиком и розой, негазированный, 500 мл",Безалкогольные напитки
425,"Мороженое Коровка из Кореновки пломбир, с черной смородиной, рожок, 120 г",Замороженная продукция
431,"Сырная тарелка Say Cheese Сказочный вояж, тильзитер, эдам, ореховый, швейцарский сыр, 185 г",Сыры
432,"Готовый завтрак Nestle Fitness, из цельной пшеницы, с фруктами, ягодами и орехами, 300 г",Бакалея
438,"Мороженое Коровка из Кореновки пломбир, с клубничным джемом, рожок, 120 г",Замороженная продукция
443,"Напиток сывороточно-молочный Мажитэль со вкусом клубники, обезжиренный, 950 г",Молочная продукция
446,"Мороженое Свитлогорье фисташковый пломбир, вафельный стаканчик, 14%, 80 г",Замороженная продукция
451,"Чайный напиток АйсКро Нечайный чай, апельсин, черная смородина и чабрец, замороженный, 150 г",Чай
460,"Масло подсолнечное Олейна классическое, рафинированное дезодорированное, без запаха, 1 л",Бакалея
465,"Вафельный торт Мишка косолапый ассорти из вафельных тортиков, 250 г",Мучные кондитерские изделия
467,"Мороженое Свитлогорье шоколадный пломбир, вафельный стаканчик, 14%, 80 г",Замороженная продукция
474,"Зубная паста Blend-a-Med комплекс с ополаскивателем, длительная свежесть, 100 мл",Уход и гигиена
476,"Творожные палочки Свитлогорье в карамельной глазури, с ванилином, 23%, 180 г",Молочная продукция
477,"Хлеб Энергия Здоровья стройный рецепт, без дрожжей, нарезка, 350 г",Хлеб и хлебобулочные изделия
485,"Мороженое Свитлогорье крем-брюле пломбир, вафельный стаканчик, 14%, 80 г",Замороженная продукция
489,"Мороженое Коровка из Кореновки пломбир, с мягкой карамелью, рожок, 120 г",Замороженная продукция
500,"Йогурт Апети со вкусом пломбира, рисовые шарики, с ягодным вкусом, 5%, 105 г",Молочная продукция
502,"Напиток Любимый яблоко-клубника-черноплодная рябина, осветленный, 950 мл",Безалкогольные напитки
516,"Напиток Mirinda Mix-It, газированный, со вкусом клубники и личи, 330 мл",Безалкогольные напитки
517,"Сливочный десерт панна-котта Самокат c желе ?манго-маракуйя-апельсин, 160 г",Молочная продукция
518,"Мороженое Свитлогорье ванильный пломбир, вафельный стаканчик, 14%, 70 г",Замороженная продукция
522,"Напиток Mirinda Mix-It, газированный, со вкусом ананаса и груши, 330 мл",Безалкогольные напитки
526,"Десерт на кокосовом молоке АйсКро АйсКрогурт, с манго и семенами чиа, 125 г",Молочная продукция
528,"Влажные салфетки Pamperino детские, без отдушки, с пластиковым клапаном, 56 шт.",Уход и гигиена
532,"Йогурт Danone Активиа, питьевой, с дыней, клубникой и земляникой, 2%, 290 г",Молочная продукция
536,"Энергетический напиток Drive Me безалкогольный, со вкусом ягод, 449 мл",Безалкогольные напитки
537,"Вода Aqua Minerale Active, негазированная, с цитрусовым вкусом, 600 мл",Безалкогольные напитки
548,"Кофейный напиток Lotte Let's Be Кафетайм Латте, негазированный, 240 мл",Безалкогольные напитки
550,"Напиток Mirinda Mix-It, газированный, со вкусом ананаса и груши, 1,5 л",Безалкогольные напитки
551,"Напиток Fuze Tea холодный чай, с персиком и розой, негазированный, 1 л",Безалкогольные напитки
553,"Песочная корзиночка Ягодное лукошко с черникой и ежевикой, 140 г",Хлеб и хлебобулочные изделия
555,"Батончик Gerber фруктово-злаковый, с яблоком и виноградом, с 12 месяцев, 25 г",Детское питание
559,"Вода Новотерская целебная, минеральная, в стекле, газированная, 500 мл",Безалкогольные напитки
561,"Мороженое Свитлогорье пломбир в клубничной оболочке, эскимо, 15%, 80 г",Замороженная продукция
565,"Шоколад Milka молочный, с печеньем Oreo Sandwich, со вкусом ванили, 92 г",Кондитерские изделия
601,"Трай-тип Мираторг из говядины, в пряном соусе для запекания, в вакуумной упаковке, 600 г",Мясо
603,"Напиток Mirinda Mix-It, газированный, со вкусом клубники и личи, 1,5 л",Безалкогольные напитки
608,"Мороженое Свитлогорье крем-брюле пломбир, брикет на вафлях, 15%, 90 г",Замороженная продукция
610,"Котлеты Морская Семейка лососевые, в панировке, свежемороженые, 320 г",Замороженная продукция
621,"Булочки пшеничные Вкусно и просто Коломенское с кунжутом, 180 г",Хлеб и хлебобулочные изделия
622,"Колбаса полукопченая Черкизово краковская, традиционная, в вакууме, 400 г",Мясная гастрономия
630,"Котлеты Морская Семейка тресковые, в панировке, свежемороженые, 320 г",Замороженная продукция
634,"Масло подсолнечное Слобода рафинированное дезодорированное, для жарки и салатов, 1 л",Бакалея
635,"Мармелад Бон Пари Страна Единорогов, фигурный, со вкусом фруктов, 100 г",Кондитерские изделия
636,"Паста творожная СуперКид с кальцием и витамином Д, банан-яблоко, 3,5%, 110 г",Детское питание
639,"Сырок творожный Свитлогорье в карамельной глазури, с ванилином, 23%, 50 г",Молочная продукция
651,"Шоколад Ritter Sport молочный, с ямайским ромом, изюмом и орехом, 100 г",Кондитерские изделия
656,"Ополаскиватель Frosch для белья, концентрированный, миндальное молочко, 750 мл",Бытовая химия
659,"Мороженое Свитлогорье пломбир в банановой оболочке, эскимо, 15%, 80 г",Замороженная продукция
661,"Таблетки для посудомоечной машины Meine Liebe Eco, All in 1, Германия, 21 шт.",Бытовая химия
665,"Карамель Eco Botanica с экстрактом облепихи, медом и витаминами, 150 г",Кондитерские изделия
682,"Мороженое Коровка из Кореновки пломбир, шоколадный, стаканчик, 100 г",Замороженная продукция
693,"Пельмени Сибирская коллекция Сибирские, из говядины и свинины, 700 г",Замороженная продукция
700,"Песочная корзиночка Ягодное лукошко с черной смородиной, 140 г",Хлеб и хлебобулочные изделия
709,"Молочный и белый шоколад Россия – щедрая душа с кокосом и вафлей, 90 г",Кондитерские изделия
711,"Белый шоколад Россия – щедрая душа Дуэт, карамельный, с печеньем, 85 г",Кондитерские изделия
712,"Мороженое Свитлогорье пломбир в манговой оболочке, эскимо, 15%, 80 г",Замороженная продукция
714,"Мороженое Коровка из Кореновки пломбир, фисташковое, стаканчик, 70 г",Замороженная продукция
723,"Мороженое Коровка из Кореновки пломбир, крем-брюле, стаканчик, 100 г",Замороженная продукция
751,"Мороженое Свитлогорье ванильный пломбир, брикет на вафлях, 15%, 90 г",Замороженная продукция
752,"Фруктовые кусочки ФрутоНяня Осьминожка, яблоко и малина, с 12 месяцев, 16 г",Детское питание
753,"Карбонад Черкизово Берлинский, варено-копченый, премиум, нарезка, 100 г",Мясная гастрономия
754,"Мороженое Коровка из Кореновки пломбир, крем-брюле, стаканчик, 80 г",Замороженная продукция
762,"Вода Aqua Minerale Active, негазированная, со вкусом малины, 600 мл",Безалкогольные напитки
768,"Паста из морепродуктов Санта Бремор Антарктик-Криль классический, 150 г",Рыбная гастрономия
776,"Корм Perfect Fit для стерилизованных кошек, с курицей в соусе, 85 г",Продукция для животных
780,"Шоколад Milka Bubbles, молочный, пористый, с кокосовой начинкой, 97 г",Кондитерские изделия
791,"Энергетический напиток Adrenaline Game Fuel, безалкогольный, 449 мл",Безалкогольные напитки
792,"Напиток Fuze Tea холодный чай, зеленый, цитрус, негазированный, 1 л",Безалкогольные напитки
800,"Шоколад Alpen Gold Max Fun с карамелью, мармеладом и печеньем, 160 г",Кондитерские изделия
803,"Набор новогодний Alpen Gold две плитки шоколада и елочный шар, 180 г",Кондитерские изделия
811,"Горбуша Русское море филе-кусок, горячего копчения, охлажденная, 200 г",Рыбная гастрономия
812,"Печенье Milka в молочном шоколаде, с овсяными хлопьями, 168 г",Мучные кондитерские изделия
814,"Паста творожная СуперКид с кальцием и витамином Д, земляника, 3,5%, 110 г",Детское питание
817,"Корм Sheba Pleasure для кошек, с курицей и индейкой, в соусе, 85 г",Продукция для животных
848,"Колбаса варено-копченая Папа Может сервелат, финский, в вакууме, 420 г",Мясная гастрономия
855,"Печенье овсяное Самокат с черносливом и грецким орехом, 200 г",Мучные кондитерские изделия
858,"Корм Sheba Pleasure для кошек, с курицей и кроликом, в соусе, 85 г",Продукция для животных
860,"Мороженое Коровка из Кореновки пломбир, ванильное, в вафлях, 80 г",Замороженная продукция
865,"Мороженое Коровка из Кореновки пломбир, полено, шоколадный, 400 г",Замороженная продукция
868,"Щербет Коровка из Кореновки традиционный, черносмородиновый, 80 г",Замороженная продукция
875,"Корм Felix для кошек, аппетитные кусочки, с кроликом в желе, 85 г",Продукция для животных
879,"Мыло жидкое Frosch для рук, миндальное молочко, запасная упаковка, 500 мл",Уход и гигиена
882,"Энергетический напиток Drive Me безалкогольный, ориджинал, 449 мл",Безалкогольные напитки
884,"Пряники Хлебный дом чайная классика, шоколадные узоры, 500 г",Мучные кондитерские изделия
889,"Мороженое Коровка из Кореновки пломбир, крем-брюле, полено, 400 г",Замороженная продукция
892,"Коктейль из морепродуктов Санта Бремор Морской микс, в заливке, 180 г",Рыбная гастрономия
899,"Йогурт Даниссимо Фантазия, с хрустящими шариками, ягодный вкус, 105 г",Молочная продукция
900,"Напиток кофейный растворимый Nescafe Classic Cappuccino, 20 пакетиков, 360 г","Кофе, какао"
901,"Корм Felix для кошек, аппетитные кусочки, с индейкой в желе, 85 г",Продукция для животных
903,"Вода Рычал-Су лечебно-столовая, минеральная, газированная, 500 мл",Безалкогольные напитки
912,"Колбаса варёная Стародворье классическая, вязанка, в полиамиде, 500 г",Мясная гастрономия
913,"Шербет Коровка из Кореновки манго-ананас, в белом шоколаде, 70 г",Замороженная продукция
918,"Пирог Черемушки австрийский штрудель, вишня и ваниль, 400 г",Мучные кондитерские изделия
922,"Творожные палочки Свитлогорье глазированные, с ванилином, 23%, 180 г",Молочная продукция
928,"Корм Cesar для собак, паучи из тушеной телятины с овощами, 100 г",Продукция для животных
933,"Шоколад Milka молочный, с молочной начинкой и печеньем Oreo, 300 г",Кондитерские изделия
937,"Конфеты Славянка Левушка, с мягкой карамелью, глазированные, 199 г",Кондитерские изделия
941,"Корм Felix для кошек, аппетитные кусочки, с курицей в желе, 85 г",Продукция для животных
945,"Блинчики Сибирская коллекция с мясом, говядина и мясо кур, 400 г",Замороженная продукция
959,"Шоколад Alpen Gold молочный, c клубнично-йогуртовой начинкой, 90 г",Кондитерские изделия
961,"Колбаса сырокопченая Останкино салями, итальянская, в нарезке, 150 г",Мясная гастрономия
980,"Кофейный напиток Lotte Let's Be Капучино, негазированный, 240 мл",Безалкогольные напитки
994,"Хлеб для сандвичей Harrys пшенично-ржаной, нарезной, 470 г",Хлеб и хлебобулочные изделия
999,"Чипсы кукурузные Cheetos большой прикол, спирали, со вкусом сметаны и лука, 85 г",Снэки
1006,"Шоколад Россия – щедрая душа российский, горький, 70% какао, 90 г",Кондитерские изделия
1008,"Суфле молочное Свитлогорье глазированное, с вареной сгущенкой, 40 г",Молочная продукция
1010,"Сырок Чудо Десерт, глазированный, чизкейк манго-персик, 23,4%, 40 г",Молочная продукция
1011,"Шейка Черкизово Брюссельская, сырокопченая, премиум, нарезка, 100 г",Мясная гастрономия
1014,"Сушки малышка Хлебный Дом Румяные традиции, простые, 400 г",Мучные кондитерские изделия
1018,"Шоколад Alpen Gold молочный, с соленым миндалем и карамелью, 90 г",Кондитерские изделия
1031,"Донатсы куриные Мираторг в панировке, с ореховой крошкой, 230 г",Замороженная продукция
1032,"Пицца Dr. Oetker Ristorante с салями, моцареллой и песто, 320 г",Замороженная продукция
1048,"Корм Felix для кошек, сухой, двойная вкуснятина, с мясом, 300 г",Продукция для животных
1052,"Молоко Весёлый молочник пастеризованное, отборное, 3,5-4,5%, 930 мл",Молочная продукция
1054,"Молоко Домик в деревне отборное, пастеризованное, 3,7%-4,5%, 930 мл",Молочная продукция
1061,"Приправа Maggi для макарон, в сливочно-сырном соусе, с курицей и грибами, 30 г",Бакалея
1063,"Туалетная бумага Zewa deluxe, 3 слоя, розовая, с ароматом орхидеи, 8 шт",Уход и гигиена
1065,"Колбаса сырокопченая Черкизово Посольская, премиум, нарезка, 100 г",Мясная гастрономия
1083,"Сыр кремчиз Bonfesto мягкий, с наполнителем базилик, чеснок, орегано, 70%, 170 г",Сыры
1084,"Шоколадный батончик Kit Kat King Break, с хрустящей вафлей, 58 г",Кондитерские изделия
1092,"Сырок Простоквашино глазированный, со сгущённым молоком, 20%, 40 г",Молочная продукция
1098,"Напиток кисломолочный Имунеле For Kids малиновый пломбир, 1,5%, 100 г",Детское питание
1105,"Бисквитные пирожные Алёнка вкус молочного шоколада, 175 г",Мучные кондитерские изделия
1106,"Хрустящие крылышки Горячая штучка куриные, классические, 300 г",Замороженная продукция
1109,"Десерт на кокосовом молоке АйсКро АйсКрогурт, финик-миндаль, 125 г",Молочная продукция
1114,"Напиток Lotte Aloe Vera негазированный, с мякотью алоэ, 240 мл",Безалкогольные напитки
1116,"Жидкость моющая для полов и стен Mr.Proper горный ручей и прохлада, 1 л",Бытовая химия
1119,"Готовый завтрак Nestle Gold, Snow Flakes, хлопья кукурузные, с сахаром, 300 г",Бакалея
1123,"Шоколад Milka молочный, в форме шара, с кремовой начинкой, 112 г",Кондитерские изделия
1125,"Форель Русское море филе-ломтики, слабосоленая, охлажденная, 120 г",Рыбная гастрономия
1128,"Печенье овсяное Самокат с клюквой и семенами тыквы, 200 г",Мучные кондитерские изделия
1137,"Мороженое АйсКро протеиновое, манго-маракуйя, без сахара, 75 г",Замороженная продукция
1145,"Сырок творожный Свитлогорье глазированный, с апельсином, 23%, 50 г",Молочная продукция
1146,"Корм Perfect Fit для стерилизованных кошек, с говядиной, 650 г",Продукция для животных
1155,"Вафельный торт Коломенский Шоколадница, с фундуком, 270 г",Мучные кондитерские изделия
1157,"Вода Рычал-Су лечебно-столовая, минеральная, газированная, 1 л",Безалкогольные напитки
1159,"Гель для душа Le Petit Marseillais экстрамягкий, малина и пион, 250 мл",Уход и гигиена
1168,"Вода Чистая вода негазированная, в канистре, с краником, 10 л",Безалкогольные напитки
1169,"Напиток Chupa Chups газированный, со вкусом винограда, 345 мл",Безалкогольные напитки
1172,"Салфетки косметические Zewa deluxe, design, 3 слоя, в коробке, 90 шт.",Уход и гигиена
1175,"Печенье Аленка вкус молочный шоколад с витаминами, 190 г",Мучные кондитерские изделия
1183,"Йогурт Danone Активиа, питьевой, с яблоком и злаками, 2,2%, 290 г",Молочная продукция
1186,"Батончик Nestle Fitness, с цельными злаками и шоколадом, 23,5 г",Кондитерские изделия
1188,"Батон пшеничный с отрубями Коломенское в нарезке, 300 г",Хлеб и хлебобулочные изделия
1190,"Сырок творожный Свитлогорье глазированный, с клубникой, 23%, 50 г",Молочная продукция
1217,"Приправа Maggi для нежного филе куриной грудки, с чесноком и травами, 30,6 г",Бакалея
1219,"Йогурт Греческий АйсКро манго-маракуйя, с семенами чиа, 3%, 125 г",Молочная продукция
1226,"Колбаса Велком докторская, белковая оболочка, вакуум, срез, 440 г",Мясная гастрономия
1227,"Туалетная бумага Zewa deluxe, 3 слоя, белая, с ароматом ромашки, 8 шт",Уход и гигиена
1235,"Коктейль йогуртный Чудо Десерт, клубника в шоколаде, 4,5%, 235 мл",Молочная продукция
1238,"Туалетная бумага Zewa плюс, 2 слоя, с ароматом ромашки, желтая, 12 шт",Уход и гигиена
1244,"Форель Agama филе-кусок, с кожей, слабосоленая, мороженная, 200 г",Рыбная гастрономия
1252,"Хлебные ломтики Maretti печеные, грибы со сметаной, 70 г",Мучные кондитерские изделия
1254,"Рулет с маком Мастер Пироговъ Коломенское Любава, 200 г",Хлеб и хлебобулочные изделия
1260,"Сгущенка Рогачев с сахаром, 8,5%, в мягкой упаковке, 280 г",Консервированные продукты
1268,"Шоколад Milka молочный, в форме шара, с ореховой начинкой, 90 г",Кондитерские изделия
1275,"Кофейный напиток Lotte Let's Be Латте, негазированный, 240 мл",Безалкогольные напитки
1278,"Напиток Lotte Milkis газированный, со вкусом клубники, 250 мл",Безалкогольные напитки
1280,"Батончик Nestle Fitness с цельными злаками и клубникой, 23,5 г",Кондитерские изделия
1282,"Салат Русское море Тонус, из маринованной морской капусты, 200 г",Рыбная гастрономия
1288,"Песочная корзиночка Ягодное лукошко с клубникой, 140 г",Хлеб и хлебобулочные изделия
1296,"Суфле молочное Свитлогорье глазированное, со вкусом ванили, 40 г",Молочная продукция
1297,"Напиток Aqua Minerale негазированный, с соком лимона, 500 мл",Безалкогольные напитки
1301,"Хлеб зерновой Ржаной край Коломенское в нарезке, 300 г",Хлеб и хлебобулочные изделия
1302,"Хлеб заварной Бородинский Коломенское в нарезке, 400 г",Хлеб и хлебобулочные изделия
1305,"Туалетная бумага Zewa плюс, 2 слоя, зеленая, с ароматом яблока, 4 шт",Уход и гигиена
1328,"Мороженое Свитлогорье двухслойный пломбир, эскимо, 15%, 80 г",Замороженная продукция
1329,"Напиток кофейный растворимый Nescafe Classic Latte, 20 пакетиков, 360 г","Кофе, какао"
1330,"Ватрушка Мастер Пироговъ Коломенское с творогом, 100 г",Хлеб и хлебобулочные изделия
1332,"Вареники Чернышихинский постные, с картофелем грибами, 350 г",Замороженная продукция
1340,"Творожные палочки Свитлогорье глазированные, с какао, 23%, 180 г",Молочная продукция
1341,"Батон нарезной Коломенское половинка, в нарезке, 200 г",Хлеб и хлебобулочные изделия
1342,"Молоко Parmalat ультрапастеризованное, низколактозное, 1,8%, 1 л",Молочная продукция
1355,"Вафли Яшкино голландские, с карамельной начинкой, 290 г",Мучные кондитерские изделия
1358,"Хлеб заварной Ржаной край Коломенское в нарезке, 300 г",Хлеб и хлебобулочные изделия
1359,"Колбаса варёно-копчёная Стародворье сервелат, кремлёвский, 350 г",Мясная гастрономия
1360,"Напиток Chupa Chups газированный, со вкусом клубники, 345 мл",Безалкогольные напитки
1365,"Рулет бисквитный 7Days с кремом вареная сгущенка, 300 г",Мучные кондитерские изделия
1367,"Сырок Чудо Десерт, глазированный, вишневое пирожное, 23,4%, 40 г",Молочная продукция
1372,"Напиток DrPepper (США) Cherry Vanilla, газированный, 355 мл",Безалкогольные напитки
1374,"Вода Новотерская целебная, минеральная, газированная, 1,5 л",Безалкогольные напитки
1376,"Корм Perfect Fit для чувствительных кошек, с индейкой, 85 г",Продукция для животных
1377,"Напиток Aqua Minerale газированный, с соком черешни, 500 мл",Безалкогольные напитки
1379,"Корм Sheba Pleasure для кошек, с говядиной и кроликом, 85 г",Продукция для животных
1380,"Оладушки Аладушкин с начинкой вареная сгущенка, 100 г",Хлеб и хлебобулочные изделия
1381,"Печенье Аленка вкус любимое молоко с витаминами, 190 г",Мучные кондитерские изделия
1386,"Сгущенка Рогачев Егорка, вареная, с сахаром, 8,5%, 360 г",Консервированные продукты
